article_id,product_code,prod_name,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,perceived_colour_value_name,perceived_colour_master_name,department_name,index_group_name,section_no,section_name,detail_desc,price_mxn,image_url
690027001,690027,ELSA pullon,Trousers,Garment Lower body,Denim,Blue,Medium Dusty,Blue,Baby Girl Woven,Baby/Children,40,Baby Girl,"Pull-on trousers in soft denim with an elasticated drawstring waist, side pockets and narrow elastication at the hems.",487,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690027001.jpg
690033001,690033,ESTER 3-p mixed PJ,Pyjama set,Nightwear,All over pattern,Light Pink,Light,Pink,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,"Set with a long-sleeved top, pair of leggings and pair of shorts in jersey. Top with a sewn-on bow and print motif on the front. Leggings and shorts with an elasticated waist and all-over print. Shorts with a sewn-on bow at the front.",432,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690033001.jpg
690048001,690048,Naomi no lic.,Top,Garment Upper body,Sequin,Grey,Dusty Light,Grey,License,Baby/Children,77,Young Girl,Long-sleeved jersey top with reversible sequins on the front and a rounded hem. Slightly longer at the back.,444,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690048001.jpg
690054001,690054,ROSIE 10PACK boxer,Underwear bottom,Underwear,Solid,Light Pink,Light,Pink,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,515,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054001.jpg
690054002,690054,ROSIE 10-p solid boxers,Underwear bottom,Underwear,Solid,Light Turquoise,Light,Turquoise,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,1104,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054002.jpg
690054004,690054,ROSIE 10-p solid boxers,Underwear bottom,Underwear,Solid,Light Yellow,Light,Yellow,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,1444,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054004.jpg
690054006,690054,ROSIE 10-p boxer,Underwear bottom,Underwear,Solid,Light Grey,Dusty Light,Grey,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,1075,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054006.jpg
690054007,690054,ROSIE 10PACK boxer,Underwear bottom,Underwear,Solid,Light Pink,Dusty Light,Pink,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,1207,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054007.jpg
690054009,690054,ROSIE 10-p solid boxers,Underwear bottom,Underwear,Solid,Light Purple,Light,Lilac Purple,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,1206,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054009.jpg
690066001,690066,Dolly SL set,Pyjama set,Nightwear,Stripe,Light Blue,Light,Blue,Nightwear,Ladieswear,62,"Womens Nightwear, Socks & Tigh","Pyjamas with a strappy top and shorts in woven fabric. V-neck top in a double layer with narrow, double shoulder straps. Shorts with an elasticated waist and frill-trimmed hems.",1056,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690066001.jpg
690074001,690074,Boris fake down,Jacket,Garment Upper body,Solid,Light Orange,Dusty Light,Orange,Baby Boy Outdoor,Baby/Children,41,Baby Boy,"Lightly padded jacket in nylon with a ribbed stand-up collar, zip down the front with a chin guard, and ribbing at the cuffs and hem. Lined.",599,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690074001.jpg
690074002,690074,Boris fake down,Jacket,Garment Upper body,Solid,Dark Blue,Medium Dusty,Blue,Baby Boy Outdoor,Baby/Children,41,Baby Boy,"Lightly padded jacket in nylon with a ribbed stand-up collar, zip down the front with a chin guard, and ribbing at the cuffs and hem. Lined.",917,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690074002.jpg
690076001,690076,Berlin overall NB,Outdoor overall,Garment Full body,Solid,Light Orange,Dusty Light,Orange,Newborn,Baby/Children,44,Baby Essentials & Complements,"Lightly padded all-in-one suit in woven fabric. Pile-lined hood with sewn-on ears at the top, a zip with a chin guard at the front and elastication at the cuffs and hems. Foldover mitts and feet to keep the hands and feet warm. Soft pile lining.",373,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690076001.jpg
690076002,690076,Berlin overall NB,Outdoor overall,Garment Full body,Solid,Dark Blue,Dark,Blue,Newborn,Baby/Children,44,Baby Essentials & Complements,"Lightly padded all-in-one suit in woven fabric. Pile-lined hood with sewn-on ears at the top, a zip with a chin guard at the front and elastication at the cuffs and hems. Foldover mitts and feet to keep the hands and feet warm. Soft pile lining.",1428,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690076002.jpg
690077001,690077,Garment laundry bag,Nipple covers,Underwear,Solid,White,Light,White,Functional Lingerie,Ladieswear,61,Womens Lingerie,Mesh laundry bags with a zip.,404,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690077001.jpg
690090001,690090,LOVISA 2-p shorttop,Kids Underwear top,Underwear,Solid,White,Light,White,Young Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,"Tops in cotton jersey with wide, printed shoulder straps and an elasticated hem.",702,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690090001.jpg
690091002,690091,CLEO shorttop,Kids Underwear top,Underwear,Solid,Black,Dark,Black,Young Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,High-cut top in soft cotton jersey with a racer back and elasticated hem.,667,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690091002.jpg
690093001,690093,SIVAN 2PACK shorttop,Kids Underwear top,Underwear,Solid,Grey,Dusty Light,Grey,Young Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,"Crop tops in soft jersey with narrow, adjustable shoulder straps and narrow elastication at the hem.",1026,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690093001.jpg
690093002,690093,SIVAN 2-p shorttop,Kids Underwear top,Underwear,Solid,Black,Dark,Black,Young Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,"Crop tops in soft jersey with narrow, adjustable shoulder straps and narrow elastication at the hem.",318,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690093002.jpg
690102005,690102,Nanna skirt,Skirt,Garment Lower body,All over pattern,Light Beige,Dusty Light,Beige,Jersey,Ladieswear,18,Womens Trend,Pleated skirt in stretch jersey with a sheen. Elasticated waist and sewn-in wrapover at the front with ties at the waist. Unlined.,360,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690102005.jpg
690107001,690107,CS Jewel,Blouse,Garment Upper body,Embroidery,White,Light,White,Blouse,Ladieswear,15,Womens Everyday Collection,"Blouse in airy cotton poplin with broderie anglaise, an opening at the top and a small frilled collar with ties at the front. 3/4-length sleeves with flounced cuffs and a seam at the hem with a wide flounce. Unlined.",502,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690107001.jpg
690108001,690108,Straight 5pkt Lowprice,Trousers,Garment Lower body,Denim,Blue,Light,Blue,Denim trousers,Menswear,56,Denim Men,"5-pocket jeans in washed denim with a regular waist, button fly and straight legs.",454,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690108001.jpg
690108003,690108,Straight Sasta,Trousers,Garment Lower body,Denim,Off White,Dusty Light,White,Denim trousers,Menswear,56,Denim Men,"5-pocket jeans in washed denim with a regular waist, button fly and straight legs.",1107,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690108003.jpg
690108004,690108,Straight 5pkt Lowprice,Trousers,Garment Lower body,Denim,Black,Dark,Black,Denim trousers,Menswear,56,Denim Men,"5-pocket jeans in washed denim with a regular waist, button fly and straight legs.",476,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690108004.jpg
690108005,690108,Straight 5pkt Lowprice,Trousers,Garment Lower body,Denim,Dark Blue,Medium Dusty,Blue,Denim trousers,Menswear,56,Denim Men,"5-pocket jeans in washed denim with a regular waist, button fly and straight legs.",838,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690108005.jpg
690112002,690112,Kookaburra,Blazer,Garment Upper body,Solid,Black,Dark,Black,Suit,Ladieswear,11,Womens Tailoring,Longer jacket in woven fabric with flap welt front pockets and 3/4-length sleeves with gathered seams. No fasteners. Lined.,1297,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690112002.jpg
690114001,690114,TOAST LS,Sweater,Garment Upper body,Stripe,Dark Green,Dark,Green,Jersey Fancy,Menswear,20,Contemporary Smart,Long-sleeved top jersey made from a cotton blend with ribbing around the neckline.,1037,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690114001.jpg
690114002,690114,TOAST LS,Sweater,Garment Upper body,Stripe,Dark Blue,Dark,Blue,Jersey Fancy,Menswear,20,Contemporary Smart,Long-sleeved top jersey made from a cotton blend with ribbing around the neckline.,1461,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690114002.jpg
690115001,690115,change,Shirt,Garment Upper body,Check,Dark Green,Medium,Green,Shirt,Menswear,20,Contemporary Smart,"Shirt in soft, checked cotton flannel with a concealed button-down collar, classic front and yoke at the back. Long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Slightly longer at the back. Regular fit – a classic fit with good room for movement over the shoulders and chest, which combined with a gently tapered waist creates a comfortable, tailored silhouette.",395,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690115001.jpg
690115002,690115,change,Shirt,Garment Upper body,Check,Light Beige,Dusty Light,White,Shirt,Menswear,20,Contemporary Smart,"Shirt in soft, checked cotton flannel with a concealed button-down collar, classic front and yoke at the back. Long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Slightly longer at the back. Regular fit – a classic fit with good room for movement over the shoulders and chest, which combined with a gently tapered waist creates a comfortable, tailored silhouette.",558,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690115002.jpg
690156001,690156,FLEECE pant,Trousers,Garment Lower body,All over pattern,Grey,Medium Dusty,Grey,Kids Girl Outdoor,Baby/Children,45,Kids Outerwear,"Trousers in soft, patterned, thermal fleece with an elasticated waist, side pockets and ribbed hems.",1383,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690156001.jpg
690156002,690156,FLEECE pant,Trousers,Garment Lower body,All over pattern,Dark Blue,Dark,Blue,Kids Girl Outdoor,Baby/Children,45,Kids Outerwear,"Trousers in soft, patterned, thermal fleece with an elasticated waist, side pockets and ribbed hems.",391,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690156002.jpg
690157002,690157,Harry 3 pcs set,Hoodie,Garment Upper body,Placement print,Greenish Khaki,Dark,Khaki green,Kids Boy Jersey Fancy,Baby/Children,46,Kids Boy,"Set in soft cotton jersey with a hooded jacket, T-shirt and joggers with a print motif. Jacket in sweatshirt fabric with a jersey-lined hood and ribbing at the cuffs and hem. T-shirt in jersey with a ribbed neckline. Joggers in sweatshirt fabric with an elasticated drawstring waist and front pockets.",313,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690157002.jpg
690158001,690158,Chandler crewneck,Sweater,Garment Upper body,All over pattern,Grey,Dusty Light,Grey,Kids Boy Jersey Fancy,Baby/Children,46,Kids Boy,"Long-sleeved top in sweatshirt fabric with ribbing around the neckline, cuffs and hem. Soft brushed inside.",375,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690158001.jpg
690158002,690158,Chandler crewneck,Sweater,Garment Upper body,Stripe,Red,Bright,Red,Kids Boy Jersey Fancy,Baby/Children,46,Kids Boy,"Long-sleeved top in sweatshirt fabric with ribbing around the neckline, cuffs and hem. Soft brushed inside.",582,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690158002.jpg
690158003,690158,Chandler crewneck,Sweater,Garment Upper body,All over pattern,Grey,Dusty Light,Grey,Kids Boy Jersey Fancy,Baby/Children,46,Kids Boy,"Long-sleeved top in sweatshirt fabric with ribbing around the neckline, cuffs and hem. Soft brushed inside.",878,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690158003.jpg
690158007,690158,CHANDLER crewneck,Sweater,Garment Upper body,Placement print,Turquoise,Medium,Turquoise,Kids Boy Jersey Fancy,Baby/Children,46,Kids Boy,"Long-sleeved top in sweatshirt fabric with ribbing around the neckline, cuffs and hem. Soft brushed inside.",385,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690158007.jpg
690158008,690158,CHANDLER crewneck,Sweater,Garment Upper body,All over pattern,Light Grey,Dusty Light,Grey,Kids Boy Jersey Fancy,Baby/Children,46,Kids Boy,"Long-sleeved top in sweatshirt fabric with ribbing around the neckline, cuffs and hem. Soft brushed inside.",494,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690158008.jpg
690158011,690158,CHANDLER crewneck,Sweater,Garment Upper body,All over pattern,Light Grey,Dusty Light,Grey,Kids Boy Jersey Fancy,Baby/Children,46,Kids Boy,"Long-sleeved top in sweatshirt fabric with ribbing around the neckline, cuffs and hem. Soft brushed inside.",893,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690158011.jpg
690158012,690158,CHANDLER crewneck,Sweater,Garment Upper body,All over pattern,Greenish Khaki,Medium Dusty,Khaki green,Kids Boy Jersey Fancy,Baby/Children,46,Kids Boy,"Long-sleeved top in sweatshirt fabric with ribbing around the neckline, cuffs and hem. Soft brushed inside.",947,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690158012.jpg
690158013,690158,CHANDLER crewneck,Sweater,Garment Upper body,All over pattern,Dark Blue,Dark,Blue,Kids Boy Jersey Fancy,Baby/Children,46,Kids Boy,"Long-sleeved top in sweatshirt fabric with ribbing around the neckline, cuffs and hem. Soft brushed inside.",1285,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690158013.jpg
690174001,690174,Kaffe kimono,Jacket,Garment Upper body,Stripe,White,Light,White,Outwear & Blazers,Ladieswear,18,Womens Trend,"Kimono in a striped linen blend containing some Tencel™ lyocell with a concealed fastening at the front, and drawstring at the sides that creates a tapered waist. Gently dropped shoulders and 3/4-length sleeves with sewn-in turn-ups.",756,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690174001.jpg
690176001,690176,Tie Metallic,Tie,Accessories,Metallic,Black,Dark,Black,Small Accessories,Menswear,25,Men Accessories,Tie in a glittery weave. Width 6 cm.,548,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690176001.jpg
690183001,690183,ROCK corduroy trousers,Trousers,Garment Lower body,Solid,Black,Dark,Black,Woven,Menswear,28,Men Edition,"Trousers in stretch cotton corduroy with a regular waist, concealed hook-and-eye fastening and zip fly. Diagonal side pockets, welt back pockets and gently tapered legs.",864,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690183001.jpg
690183003,690183,ROCK corduroy trousers,Trousers,Garment Lower body,Solid,Yellowish Brown,Medium Dusty,Brown,Woven,Menswear,28,Men Edition,"Trousers in stretch cotton corduroy with a regular waist, concealed hook-and-eye fastening and zip fly. Diagonal side pockets, welt back pockets and gently tapered legs.",566,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690183003.jpg
690193001,690193,Doris dress,Dress,Garment Full body,Solid,Black,Dark,Black,Projects Dresses,Divided,50,Divided Projects,"Short dress in woven fabric with 3/4-length, flounce-trimmed sleeves and a round neckline that has an opening and button at the back of the neck.",553,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690193001.jpg
690193002,690193,Doris dress,Dress,Garment Full body,Solid,Dark Red,Dark,Red,Projects Dresses,Divided,50,Divided Projects,"Short dress in woven fabric with 3/4-length, flounce-trimmed sleeves and a round neckline that has an opening and button at the back of the neck.",420,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690193002.jpg
690193003,690193,Doris dress,Dress,Garment Full body,Solid,Turquoise,Dusty Light,Turquoise,Projects Dresses,Divided,50,Divided Projects,"Short dress in woven fabric with 3/4-length, flounce-trimmed sleeves and a round neckline that has an opening and button at the back of the neck.",787,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690193003.jpg
690193005,690193,Doris dress,Dress,Garment Full body,Solid,Dark Red,Dark,Red,Projects Dresses,Divided,50,Divided Projects,"Short dress in woven fabric with 3/4-length, flounce-trimmed sleeves and a round neckline that has an opening and button at the back of the neck.",1434,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690193005.jpg
690193007,690193,Doris dress,Dress,Garment Full body,All over pattern,Light Pink,Dusty Light,Pink,Projects Dresses,Divided,50,Divided Projects,"Short dress in woven fabric with 3/4-length, flounce-trimmed sleeves and a round neckline that has an opening and button at the back of the neck.",1306,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690193007.jpg
690193008,690193,Doris dress,Dress,Garment Full body,Solid,Dark Green,Dark,Green,Projects Dresses,Divided,50,Divided Projects,"Short dress in woven fabric with 3/4-length, flounce-trimmed sleeves and a round neckline that has an opening and button at the back of the neck.",1280,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690193008.jpg
690197001,690197,Shelley velvet dress,Dress,Garment Full body,All over pattern,Dark Blue,Dark,Blue,Projects Dresses,Divided,50,Divided Projects,Dress in patterned velvet with a small stand-up collar and an opening with buttons at the back of the neck. Seam at the waist and long sleeves in airy chiffon with smocked cuffs. Unlined.,589,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690197001.jpg
690200001,690200,Grace dress,Dress,Garment Full body,Embroidery,Black,Dark,Black,Projects Dresses,Divided,50,Divided Projects,"Short dress in tulle with a round neckline, opening and button at the back of the neck and an embroidered pattern. Gathered, frill-trimmed seam at the waist and 3/4-length sleeves with a seam at the elbows and flare to the cuffs. Jersey inner dress.",1179,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690200001.jpg
690202001,690202,SIVAN 2-p fancy shorttop,Kids Underwear top,Underwear,Solid,White,Light,White,Young Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,"Crop tops in soft cotton jersey with narrow, adjustable shoulder straps and narrow elastication at the hem.",702,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690202001.jpg
690209002,690209,Claudette blouse,Blouse,Garment Upper body,All over pattern,Dark Blue,Dark,Blue,Projects Woven Tops,Divided,50,Divided Projects,"Blouse in an airy, patterned weave with a smocked stand-up collar, narrow velvet ties around the neckline and an opening with a button at the back of the neck. Long sleeves with flounced cuffs.",1000,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690209002.jpg
690211001,690211,Rosalind jacket,Jacket,Garment Upper body,Solid,White,Light,White,Projects Woven Tops,Divided,50,Divided Projects,"Fluffy jacket in soft pile with a collar, concealed zip down the front and concealed pockets in the side seams. Lined.",345,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690211001.jpg
690212001,690212,Kylo coat(1),Coat,Garment Upper body,Solid,Pink,Medium Dusty,Pink,Projects Woven Tops,Divided,50,Divided Projects,"Coat in felted fabric with notch lapels, welt side pockets, a tie belt at the waist and a single back vent. No buttons. Unlined.",973,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690212001.jpg
690212002,690212,Kylo coat(1),Coat,Garment Upper body,Solid,Beige,Dusty Light,Mole,Projects Woven Tops,Divided,50,Divided Projects,"Coat in felted fabric with notch lapels, welt side pockets, a tie belt at the waist and a single back vent. No buttons. Unlined.",1222,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690212002.jpg
690213001,690213,PE GISELE,Dress,Garment Full body,Solid,Black,Dark,Black,Take Care External,Ladieswear,97,Collaborations,"Short dress in a sturdy weave with a small stand-up collar, concealed zip at the back and long sleeves with a concealed zip at the cuffs. Unlined.",1396,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690213001.jpg
690217001,690217,SC - NOISE scarf,Scarf,Accessories,Front print,Yellowish Brown,Dark,Brown,Studio Collection,Ladieswear,82,Special Collections,STUDIO COLLECTION. Scarf in a patterned silk weave. Size 45x45 cm.,746,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690217001.jpg
690222001,690222,Lucille bow jumper,Sweater,Garment Upper body,Solid,Grey,Dusty Light,Grey,Projects Jersey & Knitwear,Divided,50,Divided Projects,"Jumper in a soft, fine knit with an opening and ties at the back of the neck, long puff sleeves and ribbing around the neckline, cuffs and hem.",802,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690222001.jpg
690222002,690222,Lucille bow jumper,Sweater,Garment Upper body,Solid,Dark Red,Dark,Red,Projects Jersey & Knitwear,Divided,50,Divided Projects,"Jumper in a soft, fine knit with an opening and ties at the back of the neck, long puff sleeves and ribbing around the neckline, cuffs and hem.",1342,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690222002.jpg
690222003,690222,Lucille bow jumper,Sweater,Garment Upper body,Solid,Pink,Medium Dusty,Pink,Projects Jersey & Knitwear,Divided,50,Divided Projects,"Jumper in a soft, fine knit with an opening and ties at the back of the neck, long puff sleeves and ribbing around the neckline, cuffs and hem.",1207,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690222003.jpg
